Intersection,Type,Pre_Mean,Post_Mean,Pre_Std,Post_Std,Pre_SE,Post_SE,Pre_85th,Post_85th,Pre_95th,Post_95th,Pre_Max_85th,Post_Max_85th,T_Statistic,P_Value,Pre_Volume,Post_Volume,Combined Volume
Nebraska Ave & Purdue Ave,Traffic Circle,16.028770166541545,15.0753878827463,1.313557926401166,1.3270295445154818,0.03204753190492555,0.032376205732437935,20.670848335350627,19.430494699188117,24.69628154253934,23.202955564879257,44.0,35.0,21.649577066681005,7.495403224003133e-92,326345,462382,788727
Ellenwood Dr & Addison Way,Traffic Circle,18.766212365683682,15.303956671403213,1.4232623289176138,0.8097812031204001,0.04342929844711896,0.024121579011869038,23.60244086649044,18.70965261971296,27.82594665110371,21.374452021957993,43.0,46.0,40.053986262540285,7.390457299784966e-191,240770,235942,476712
Woodlawn Ave & 41st Pl,Traffic Circle,16.962371999663244,15.68318638754811,1.2050240943386237,1.8367271528645739,0.03261590285991616,0.04586088849509844,22.001116610466894,20.66437637218172,24.649355511934882,24.471778838579255,32.0,32.0,18.087793202255348,1.0683568478510024e-65,466789,491131,957920
5th Ave & 30th Street,Traffic Circle,17.96812942504361,16.776646022209523,1.8337670173988279,1.6865307866562187,0.05083999613336662,0.0452362789271986,23.011485446523242,21.54960847606839,27.068461196429183,25.173714612260028,35.0,34.0,27.859072708014555,4.0980703070009205e-134,152485,134189,286674
Rosewood Ave & Martel Ave,Traffic Circle,15.960321316360574,15.414131875987225,1.1064266626301833,1.015764380614799,0.028231049596400604,0.025750649240895134,19.43071242774066,18.603538407544,22.020397136296097,21.048561910625004,26.0,24.0,31.728680036157712,5.26906529154571e-170,866151,869035,1735186
St Andrews Pl 31st,Traffic Circle,17.130274514941124,16.095266202784053,1.4507281565061,1.0153943537694596,0.03539414284406985,0.02477308559787861,21.92871854213062,20.88662118649519,26.67836193470445,25.376713546810144,37.0,36.0,31.67577017511553,1.412046131596071e-172,274812,264291,539103
Neptune & G Ave,Traffic Circle,15.981633146263526,14.919834160065152,0.8376661767806767,0.7586912289449217,0.03880413631447493,0.03495864650942033,21.009465374184366,19.739660916561782,24.507545447222146,22.98353446361146,27.0,29.0,25.14813877376653,1.959773865425836e-88,74916,67949,142865
Oakwood Ave & Hayworth Ave,Traffic Circle,14.200453235686169,14.034471568440013,2.8186657150295016,2.71144836083779,0.0699871241156156,0.0679136667499558,19.274258163721157,19.096155878002396,24.26689007348824,24.007388381851296,35.0,33.0,3.3647639988077866,0.0007846981767581931,833913,804416,1638329
Neptune & F Ave,Traffic Circle,16.859289336893497,15.754036690944071,0.9230829193361056,0.7845720540425479,0.04257864003429837,0.03607466147884116,22.10573049152355,20.70765768860794,26.709746733446035,25.20463446475196,36.0,29.0,26.995811659059342,4.151902995502367e-97,63621,58396,122017
Cimarron St & 29th St,Traffic Circle,16.908614187141577,16.05146952775705,1.746676632935599,1.3484199076988914,0.04261454633748373,0.032898077157215065,20.70696627220996,19.965661898879436,23.54563907369701,22.736033685953107,32.0,31.0,27.25930072788404,1.3202323849548226e-135,315793,318946,634739
Texas Ave & Westgate Ave,Traffic Circle,13.928610749912204,13.555287303276364,1.5171533993837891,1.485778222733631,0.03739508968082319,0.036499989063824775,18.487982358729045,17.869982824226106,21.59808211290287,20.67851044976118,48.0,25.0,9.205997592525545,1.0088648960402274e-19,633167,787544,1420711
Romaine St & Serrano Ave,Traffic Circle,15.260356865787433,13.893222383598804,2.211245266483709,1.3374901928878191,0.05769338468298395,0.03268008673942247,19.658021972521833,19.335228841329478,27.96437598538502,24.225966559037822,34.0,29.0,21.580285652567003,6.312172094058119e-90,412085,333406,745491
Avenue 50 & Meridian St,Traffic Circle,16.375894815569005,14.129798127171924,1.3268766943987642,0.7881150969315787,0.06062654362175917,0.036085311390332456,20.5302524652601,17.764402118647816,24.536047162044106,21.650608801761415,28.0,26.0,44.22124645359517,1.6656839689782323e-170,159163,113170,272333
St Andrews Pl 29th St,Traffic Circle,16.65328590151657,15.925464963779916,1.9672821234937599,1.5574026905903087,0.051788517615097965,0.03878987694950865,21.34861969252533,20.55867389601359,24.18603257816888,23.295389530943307,32.0,27.0,25.837465811768958,3.6910254842642398e-121,246066,228747,474813
McKinley Ave & E. 88th Pl,Traffic Circle,16.905292631590473,15.920569103276206,0.9161672444892708,0.8405364340083734,0.022595598745088947,0.020568295713553595,22.156301918397624,20.94370451777705,26.809873630449122,25.600897020821577,40.0,37.0,35.208112107310185,1.4747526272962223e-202,367309,337190,704499
Buchanan St & Nolden St,Traffic Circle,16.206961077844312,15.035572049239681,1.6876788576707293,1.553505653018905,0.26684545745753185,0.07188766834952766,21.909056886227546,20.260137581462708,26.855538922155688,24.895878590393433,29.0,39.0,6.385724695973153,2.127291867309671e-07,2672,33249,35921
Cimarron & 39th St,Traffic Circle,16.589783736528318,15.686531862438141,1.3870513465607173,1.1245719620788701,0.0026254847978827273,0.0021272669117570666,20.80545961362073,19.85274468899727,25.089984378582894,23.860992532213107,52.0,35.0,23.058424664491053,3.611254843816971e-102,279104,279467,558571
,,,,,,,,,,,,,,,,,,11534611
